GEO.id,GEO.id2,GEO.display-label,GRT_STUB.target-geo-id,GRT_STUB.target-geo-id2,GRT_STUB.rank-label,GRT_STUB.display-label,EST,MOE
0100000US,,United States,0100000US,,,United States,50046,64
0100000US,,United States,0400000US24,24,1,Maryland,68854,922
0100000US,,United States,0400000US34,34,2,New Jersey,67681,763
0100000US,,United States,0400000US02,02,3,Alaska,64576,2085
0100000US,,United States,0400000US09,09,4,Connecticut,64032,1092
0100000US,,United States,0400000US15,15,5,Hawaii,63030,1556
0100000US,,United States,0400000US25,25,6,Massachusetts,62072,408
0100000US,,United States,0400000US33,33,7,New Hampshire,61042,1147
0100000US,,United States,0400000US11,11,8,District of Columbia,60903,1540
0100000US,,United States,0400000US51,51,9,Virginia,60674,457
0100000US,,United States,0400000US06,06,10,California,57708,354
0100000US,,United States,0400000US10,10,11,Delaware,55847,1499
0100000US,,United States,0400000US53,53,12,Washington,55631,550
0100000US,,United States,0400000US27,27,13,Minnesota,55459,457
0100000US,,United States,0400000US49,49,14,Utah,54744,625
0100000US,,United States,0400000US36,36,15,New York,54148,376
0100000US,,United States,0400000US08,08,16,Colorado,54046,729
0100000US,,United States,0400000US56,56,17,Wyoming,53512,1894
0100000US,,United States,0400000US17,17,18,Illinois,52972,439
0100000US,,United States,0400000US44,44,19,Rhode Island,52254,1244
0100000US,,United States,0400000US32,32,20,Nevada,51001,792
0100000US,,United States,0400000US50,50,21,Vermont,49406,1483
0100000US,,United States,0400000US42,42,22,Pennsylvania,49288,433
0100000US,,United States,0400000US55,55,23,Wisconsin,49001,500
0100000US,,United States,0400000US38,38,24,North Dakota,48670,1575
0100000US,,United States,0400000US48,48,25,Texas,48615,347
0100000US,,United States,0400000US31,31,26,Nebraska,48408,904
0100000US,,United States,0400000US20,20,27,Kansas,48257,870
0100000US,,United States,0400000US19,19,28,Iowa,47961,647
0100000US,,United States,0400000US04,04,29,Arizona,46789,531
0100000US,,United States,0400000US41,41,30,Oregon,46560,542
0100000US,,United States,0400000US13,13,31,Georgia,46430,470
0100000US,,United States,0400000US46,46,32,South Dakota,45904,1215
0100000US,,United States,0400000US23,23,33,Maine,45815,953
0100000US,,United States,0400000US26,26,34,Michigan,45413,306
0100000US,,United States,0400000US39,39,35,Ohio,45090,294
0100000US,,United States,0400000US18,18,36,Indiana,44613,452
0100000US,,United States,0400000US12,12,37,Florida,44409,324
0100000US,,United States,0400000US29,29,38,Missouri,44301,507
0100000US,,United States,0400000US16,16,39,Idaho,43490,1005
0100000US,,United States,0400000US37,37,40,North Carolina,43326,370
0100000US,,United States,0400000US30,30,41,Montana,42666,1130
0100000US,,United States,0400000US22,22,42,Louisiana,42505,707
0100000US,,United States,0400000US35,35,43,New Mexico,42090,734
0100000US,,United States,0400000US40,40,44,Oklahoma,42072,407
0100000US,,United States,0400000US45,45,45,South Carolina,42018,424
0100000US,,United States,0400000US47,47,46,Tennessee,41461,403
0100000US,,United States,0400000US01,01,47,Alabama,40474,472
0100000US,,United States,0400000US21,21,48,Kentucky,40062,502
0100000US,,United States,0400000US05,05,49,Arkansas,38307,643
0100000US,,United States,0400000US54,54,50,West Virginia,38218,896
0100000US,,United States,0400000US28,28,51,Mississippi,36851,635
0100000US,,United States,0400000US72,72,,Puerto Rico,18862,324
